Title,Weekend Gross
Coco,18452315
Justice League,9664297
Wonder,8447762
The Disaster Artist,6366242
Thor: Ragnarok,6271374
Daddy's Home 2,5919337
Murder on the Orient Express (2017),5162331
The Star,3707087
Lady Bird,3451822
Just Getting Started,3201459
"Three Billboards Outside Ebbing, Missouri",2862109
A Bad Moms Christmas,2581446
The Shape of Water,1141546
"Roman J. Israel, Esq.",871624
Darkest Hour,741417
The Man Who Invented Christmas,715801
Call Me by Your Name,285850
Blade Runner 2049,264527
"I, Tonya",264155
The Mountain Between Us,244829
