DATE,5/1 ARM,15 YR FIXED,30 YR FIXED
"Thursday, January 6, 2005",5.03,5.21,5.77
"Thursday, January 13, 2005",5.05,5.19,5.74
"Thursday, January 20, 2005",5.05,5.15,5.67
"Thursday, January 27, 2005",5.02,5.14,5.66
"Thursday, February 3, 2005",5,5.14,5.63
"Thursday, February 10, 2005",4.99,5.1,5.57
"Thursday, February 17, 2005",5.05,5.14,5.62
"Thursday, February 24, 2005",5.05,5.22,5.69
"Thursday, March 3, 2005",5.17,5.33,5.79
"Thursday, March 10, 2005",5.22,5.38,5.85
"Thursday, March 17, 2005",5.31,5.47,5.95
"Thursday, March 24, 2005",5.35,5.56,6.01
"Thursday, March 31, 2005",5.43,5.58,6.04
"Thursday, April 7, 2005",5.33,5.48,5.93
"Thursday, April 14, 2005",5.31,5.46,5.91
"Thursday, April 21, 2005",5.22,5.36,5.8
"Thursday, April 28, 2005",5.2,5.33,5.78
"Thursday, May 5, 2005",5.16,5.31,5.75
"Thursday, May 12, 2005",5.21,5.33,5.77
"Thursday, May 19, 2005",5.07,5.27,5.71
"Thursday, May 26, 2005",5.07,5.21,5.65
"Thursday, June 2, 2005",5.1,5.2,5.62
"Thursday, June 9, 2005",5.01,5.14,5.56
"Thursday, June 16, 2005",5.1,5.22,5.63
"Thursday, June 23, 2005",5.05,5.16,5.57
"Thursday, June 30, 2005",5.06,5.12,5.53
"Thursday, July 7, 2005",5.19,5.2,5.62
"Thursday, July 14, 2005",5.15,5.25,5.66
"Thursday, July 21, 2005",5.26,5.32,5.73
"Thursday, July 28, 2005",5.27,5.34,5.77
"Thursday, August 4, 2005",5.3,5.38,5.82
"Thursday, August 11, 2005",5.4,5.47,5.89
"Thursday, August 18, 2005",5.34,5.4,5.8
"Thursday, August 25, 2005",5.3,5.35,5.77
"Thursday, September 1, 2005",5.3,5.32,5.71
"Thursday, September 8, 2005",5.24,5.3,5.71
"Thursday, September 15, 2005",5.26,5.32,5.74
"Thursday, September 22, 2005",5.31,5.37,5.8
"Thursday, September 29, 2005",5.44,5.48,5.91
"Thursday, October 6, 2005",5.48,5.54,5.98
"Thursday, October 13, 2005",5.57,5.62,6.03
